City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Zhigansk,RU,2020-07-11 03:06:46,66.77,123.37,72.82,46,86,21.77
95,Colares,PT,2020-07-11 03:06:46,38.8,-9.45,66.0,85,0,14.0
96,Mehamn,NO,2020-07-11 03:06:46,71.04,27.85,47.37,92,100,11.3
97,Cayenne,GF,2020-07-11 03:06:47,4.93,-52.33,77.0,100,100,8.41
98,Puerto Ayora,EC,2020-07-11 03:06:47,-0.74,-90.35,66.99,95,92,7.38
99,Sao Filipe,CV,2020-07-11 03:06:47,14.9,-24.5,74.39,86,4,10.18
100,Klaksvik,FO,2020-07-11 03:06:47,62.23,-6.59,44.6,81,84,11.18
101,Salinopolis,BR,2020-07-11 03:06:47,-0.61,-47.36,79.65,82,78,11.34
102,Pavullo Nel Frignano,IT,2020-07-11 03:06:47,44.33,10.84,72.0,62,100,1.99
103,Shelburne,CA,2020-07-11 03:06:48,44.08,-80.2,70.0,94,90,10.29
104,Ribeira Grande,PT,2020-07-11 03:06:48,38.52,-28.7,68.32,78,9,9.78
105,Nikolskoye,RU,2020-07-11 03:06:48,59.7,30.79,59.0,93,90,4.47
106,La Ronge,CA,2020-07-11 03:06:48,55.1,-105.28,60.8,93,75,4.7
107,Gravdal,NO,2020-07-11 03:06:48,68.12,13.5,52.41,82,60,13.56
108,Butaritari,KI,2020-07-11 03:06:48,3.07,172.79,82.92,77,99,12.01
109,Omboue,GA,2020-07-11 03:02:32,-1.57,9.26,72.66,90,100,9.06
110,Lorengau,PG,2020-07-11 03:01:50,-2.02,147.27,84.63,76,100,11.77
111,Arraial Do Cabo,BR,2020-07-11 03:06:49,-22.97,-42.03,69.55,76,32,16.62
112,Mataura,NZ,2020-07-11 03:06:49,-46.19,168.86,49.84,78,30,7.07
113,Pontian Kecil,MY,2020-07-11 03:06:50,1.48,103.39,89.01,79,20,3.36
114,Coquimbo,CL,2020-07-11 03:06:50,-29.95,-71.34,51.8,87,0,4.7
115,San Patricio,MX,2020-07-11 03:06:50,19.22,-104.7,84.2,79,40,11.41
116,Emirdag,TR,2020-07-11 03:06:50,39.02,31.15,62.44,73,0,1.74
117,Zyryanka,RU,2020-07-11 03:06:50,65.75,150.85,75.54,39,11,13.27
118,Yellowknife,CA,2020-07-11 03:06:22,62.46,-114.35,70.0,52,20,6.93
119,Cape Town,ZA,2020-07-11 03:03:00,-33.93,18.42,53.01,81,75,13.87
