City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
384,Xinzhi,CN,36.5,111.7,77.05,59,93,4.52,light rain,0.16,0
385,Jumla,NP,29.27,82.18,75.99,90,34,6.53,light rain,0.71,0
386,Brandon,US,27.94,-82.29,82.99,100,90,3.85,light rain,0.0,0
387,Prince Rupert,CA,54.32,-130.32,51.8,93,90,3.36,overcast clouds,0.0,0
388,Fare,PF,-16.7,-151.02,79.68,69,57,19.53,broken clouds,0.0,0
389,Yaan,NG,7.38,8.57,77.74,86,91,5.75,light rain,0.22,0
390,Mount Gambier,AU,-37.83,140.77,53.6,87,0,10.29,clear sky,0.0,0
391,Smithers,CA,54.78,-127.17,50.0,87,90,3.62,light rain,0.0,0
392,Bilibino,RU,68.05,166.44,63.1,77,73,4.05,moderate rain,1.6,0
393,Sandy Bay,AU,-42.91,147.35,45.0,93,20,2.64,few clouds,0.0,0
394,Carbonia,IT,39.17,8.52,87.8,40,0,8.05,clear sky,0.0,0
395,Pho Chai,TH,16.33,103.77,89.6,70,40,6.93,shower rain,0.0,0
396,Istanbul,TR,41.04,28.98,82.4,51,20,13.87,few clouds,0.0,0
397,Jinka,ET,5.65,36.65,77.59,49,88,4.43,overcast clouds,0.0,0
398,Praia,CV,14.92,-23.51,73.53,75,97,8.37,overcast clouds,0.0,0
399,Ponta Delgada,PT,37.73,-25.67,68.0,68,75,3.36,broken clouds,0.0,0
400,Gwanda,ZW,-20.93,29.0,60.37,31,0,15.59,clear sky,0.0,0
401,Revda,RU,56.8,59.93,78.8,34,66,4.47,broken clouds,0.0,0
402,Ben Tre,VN,10.23,106.38,85.87,75,100,5.61,moderate rain,1.12,0
403,Jackson,US,42.42,-122.83,64.4,55,1,4.7,clear sky,0.0,0
404,Santa Vitoria Do Palmar,BR,-33.52,-53.37,40.84,80,29,4.99,scattered clouds,0.0,0
405,Dandong,CN,40.13,124.39,75.96,69,100,6.15,overcast clouds,0.0,0
406,Saldanha,ZA,-33.01,17.94,50.0,71,22,5.82,few clouds,0.0,0
407,Beeville,US,28.4,-97.75,79.0,100,90,8.05,overcast clouds,0.0,0
